Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
0.30517578125,2204.3856014344615,0.000401641845703125,0.30517578125,2,2093,0.09049470573663716,-0.08022628650069233,1 mA
0.3076171875,2204.629742433845,0.0004053955078125,0.307647705078125,2,2094,0.09049470573663716,-0.08022628650069233,1 mA
0.31005859375,2204.8738834332285,0.000409149169921875,0.310150146484375,2,2095,0.09049470573663716,-0.08022628650069233,1 mA
0.3125,2205.1180244326124,0.000412994384765625,0.312591552734375,2,2096,0.09049470573663716,-0.08022628650069233,1 mA
0.31494140625,2205.362165431996,0.00041656494140625,0.315032958984375,2,2097,0.09049470573663716,-0.08022628650069233,1 mA
0.3173828125,2205.6063064313794,0.00042022705078125,0.31744384765625,2,2098,0.09049470573663716,-0.08022628650069233,1 mA
0.31982421875,2205.850447430763,0.000423919677734375,0.319915771484375,2,2099,0.09049470573663716,-0.08022628650069233,1 mA
0.322265625,2206.0945884301464,0.00042709350585937503,0.322357177734375,2,2100,0.09049470573663716,-0.08022628650069233,1 mA
0.32470703125,2206.3387294295303,0.0004307861328125,0.32476806640625,2,2101,0.09049470573663716,-0.08022628650069233,1 mA
0.3271484375,2206.582870428914,0.000434417724609375,0.327178955078125,2,2102,0.09049470573663716,-0.08022628650069233,1 mA
0.32958984375,2206.8270114282973,0.000437957763671875,0.329681396484375,2,2103,0.09049470573663716,-0.08022628650069233,1 mA
0.33203125,2207.071152427681,0.00044146728515625003,0.33209228515625,2,2104,0.09049470573663716,-0.08022628650069233,1 mA
0.33447265625,2207.3152934270647,0.00044488525390625004,0.334564208984375,2,2105,0.09049470573663716,-0.08022628650069233,1 mA
0.3369140625,2207.559434426448,0.000448577880859375,0.3370361328125,2,2106,0.09049470573663716,-0.08022628650069233,1 mA
0.33935546875,2207.8035754258317,0.000451812744140625,0.33941650390625,2,2107,0.09049470573663716,-0.08022628650069233,1 mA
0.341796875,2208.047716425215,0.00045501708984375,0.341827392578125,2,2108,0.09049470573663716,-0.08022628650069233,1 mA
0.34423828125,2208.291857424599,0.000458465576171875,0.34429931640625,2,2109,0.09049470573663716,-0.08022628650069233,1 mA
0.3466796875,2208.5359984239826,0.000462127685546875,0.346710205078125,2,2110,0.09049470573663716,-0.08022628650069233,1 mA
0.34912109375,2208.780139423366,0.00046539306640625,0.34918212890625,2,2111,0.09049470573663716,-0.08022628650069233,1 mA
